PlanId;Plannavn;Plantype;PlantypeId;Planstatus;PlanstatusId;IKraft;Lovreferanse;LovreferanseId;Vertikalnivå;VertikalnivåId;PlanBestemmelse;PlanBestemmelseId
201606;Tangvall - skolesenter;Detaljregulering;35;Endelig vedtatt arealplan;3;20.06.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201608;Kleplandsveien 1, 3, 5, 7 og 9;Detaljregulering;35;Endelig vedtatt arealplan;3;24.05.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201609;Øygarden 7, 11 og 15;Detaljregulering;35;Endelig vedtatt arealplan;3;13.12.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201610;Nodenesveien 25;Detaljregulering;35;Endelig vedtatt arealplan;3;13.12.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201611;Linnegrøvan-Kleplandsveien - turvei langs Søgneelva;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201612;Detaljrergulering for Sjursholmen Nord;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201613;Rådhusveien 36 og 38;Detaljregulering;35;Endelig vedtatt arealplan;3;31.01.2019;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten;1, 2;Planbestemmelser både på kart og som egen tekst;4
201614;Øygardsheia nord - 1;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201615;Kommuneplan for Søgne 2018-2030;Kommuneplanens arealdel;20;Utgått/erstattet;5;28.02.2019;Plan- og bygningsloven av 2008;6;;;Med bestemmelser som egen tekst;1
201616;Nygårdshaven 1, 2, 4, 6 og 10;Detaljregulering;35;Endelig vedtatt arealplan;3;24.05.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201701;Skrefjell platå;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201702;Skarpøya nord;Detaljregulering;35;Endelig vedtatt arealplan;3;26.04.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201703;Tangvall - kollektivterminal;Detaljregulering;35;Endelig vedtatt arealplan;3;20.06.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
